id;jhi_limit;balance;spent;description;sort_order;date_added;date_modified;status
1;20127;26136;46053;International;49771;2022-07-28;2022-07-27;RESTRICTED
2;19848;22170;98967;Automotive Checking microchip;43417;2022-07-27;2022-07-27;DISABLED
3;54527;49065;80351;Integration Saint;37861;2022-07-28;2022-07-27;DISABLED
4;10846;81561;91829;Bike Loan Agent;65699;2022-07-28;2022-07-28;RESTRICTED
5;11307;56116;52990;mobile;53655;2022-07-28;2022-07-27;AVAILABLE
6;14375;25775;95034;d'Ivoire efficient;47987;2022-07-27;2022-07-28;RESTRICTED
7;89625;69920;79359;Product Soft;12805;2022-07-27;2022-07-27;RESTRICTED
8;70466;1766;50221;Steel;29074;2022-07-28;2022-07-28;DISABLED
9;1257;98954;32023;back teal;81584;2022-07-27;2022-07-28;DISABLED
10;69660;6583;38395;bypassing Minnesota SQL;35398;2022-07-27;2022-07-27;DISABLED
